sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
File Folders SKU 21,3/17/22,14.39,5,72,22,33,11,5,1,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,3/18/22,17.99,5,90,22,33,14,4,17,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,3/19/22,17.99,1,18,4,7,3,2,2,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,3/20/22,21.59,5,108,22,33,16,4,33,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,3/21/22,16.79,15,252,67,99,38,5,43,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/22/22,17.99,10,180,44,66,27,9,34,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/23/22,17.99,9,162,40,59,24,6,33,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/24/22,17.99,7,126,31,46,19,9,21,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/25/22,17.89,3,54,13,20,8,5,8,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/26/22,17.99,4,72,18,26,11,5,12,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/27/22,17.99,4,72,18,26,11,7,10,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/28/22,17.79,5,89,22,33,13,1,20,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/29/22,17.89,8,143,36,53,21,6,27,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/30/22,17.99,7,126,31,46,19,6,24,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,3/31/22,17.89,4,72,18,26,11,6,11,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,4/1/22,17.99,4,72,18,26,11,3,14,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,4/2/22,17.99,6,108,27,40,16,4,21,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,4/3/22,17.99,2,36,9,13,5,3,6,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,4/4/22,17.39,18,313,80,119,47,4,63,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/5/22,17.69,4,71,18,26,11,2,14,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/6/22,17.89,12,215,53,79,32,6,45,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/7/22,17.89,6,107,27,40,16,7,17,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/8/22,17.79,14,249,62,92,37,4,54,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/9/22,17.99,7,126,31,46,19,4,26,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/10/22,17.99,1,18,4,7,3,3,1,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,4/11/22,17.89,17,304,75,112,46,4,67,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/12/22,17.89,12,215,53,79,32,7,44,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/13/22,17.89,10,179,44,66,27,7,35,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/14/22,17.79,4,71,18,26,11,5,11,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/15/22,17.89,5,89,22,33,13,2,19,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/16/22,17.99,5,90,22,33,14,8,13,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/17/22,17.99,3,54,13,20,8,4,9,24.77,,,,,24.77,24.77,,14.99,23.99
File Folders SKU 21,4/18/22,17.89,8,143,36,53,21,4,29,24.77,,,,,24.77,24.77,356.0,14.99,23.99
File Folders SKU 21,4/19/22,17.89,6,107,27,40,16,7,17,24.77,,,,,24.77,24.77,357.0,14.99,23.99
File Folders SKU 21,4/20/22,17.99,13,234,58,86,35,2,53,24.77,,,,,24.77,24.77,543.0,14.99,23.99
File Folders SKU 21,4/21/22,17.79,8,142,36,53,21,7,25,24.77,,,,,24.77,24.77,538.0,14.99,23.99
File Folders SKU 21,4/22/22,17.99,8,144,36,53,22,6,27,24.77,,,,,24.77,24.77,529.0,14.99,23.99
File Folders SKU 21,4/23/22,17.99,4,72,18,26,11,2,15,24.77,,,,,24.77,24.77,521.0,14.99,23.99
File Folders SKU 21,4/24/22,17.99,11,198,49,73,30,14,32,24.77,,,,,24.77,24.77,502.0,14.99,23.99
File Folders SKU 21,4/25/22,17.79,7,125,31,46,19,4,25,21.56,,,,,21.56,21.56,506.0,14.99,23.99
File Folders SKU 21,4/26/22,17.89,22,394,98,145,59,8,84,21.56,,,,,21.56,21.56,699.0,14.99,23.99
File Folders SKU 21,4/27/22,18.09,21,380,93,139,57,4,87,21.56,,,,,21.56,21.56,693.0,14.99,23.99
File Folders SKU 21,4/28/22,18.89,12,227,53,79,34,4,57,21.56,,,,,21.56,21.56,683.0,14.99,23.99
File Folders SKU 21,4/29/22,18.89,5,94,22,33,14,2,23,21.56,,,,,21.56,21.56,667.0,14.99,23.99
File Folders SKU 21,4/30/22,18.79,4,75,18,26,11,1,19,21.56,,,,,21.56,21.56,642.0,14.99,23.99
File Folders SKU 21,5/1/22,18.99,2,38,9,13,6,2,8,21.56,,,,,21.56,21.56,626.0,14.99,23.99
File Folders SKU 21,5/2/22,18.99,4,76,18,26,11,1,20,21.56,,,,,21.56,21.56,622.0,14.99,23.99
File Folders SKU 21,5/3/22,18.89,4,76,18,26,11,7,14,21.56,,,,,21.56,21.56,620.0,14.99,23.99
File Folders SKU 21,5/4/22,18.99,3,57,13,20,9,3,12,21.56,,,,,21.56,21.56,614.0,14.99,23.99
File Folders SKU 21,5/5/22,18.99,4,76,18,26,11,5,16,21.56,,,,,21.56,21.56,607.0,14.99,23.99
File Folders SKU 21,5/6/22,18.89,8,151,36,53,23,2,37,21.56,,,,,21.56,21.56,603.0,14.99,23.99
File Folders SKU 21,5/7/22,18.99,2,38,9,13,6,2,8,21.56,,,,,21.56,21.56,598.0,14.99,23.99
File Folders SKU 21,5/8/22,18.99,6,114,27,40,17,3,27,21.56,,,,,21.56,21.56,596.0,14.99,23.99
File Folders SKU 21,5/9/22,18.79,12,225,53,79,34,3,56,25.38,,,,,25.38,25.38,593.0,14.99,23.99
File Folders SKU 21,5/10/22,18.69,6,112,27,40,17,7,21,25.38,,,,,25.38,25.38,588.0,14.99,23.99
File Folders SKU 21,5/11/22,18.79,2,38,9,13,6,7,3,25.38,,,,,25.38,25.38,584.0,14.99,23.99
File Folders SKU 21,5/12/22,18.99,1,19,4,7,3,6,-1,25.38,,,,,25.38,25.38,580.0,14.99,23.99
File Folders SKU 21,5/13/22,18.89,4,76,18,26,11,2,19,25.38,,,,,25.38,25.38,565.0,14.99,23.99
File Folders SKU 21,5/14/22,18.99,2,38,9,13,6,1,9,25.38,,,,,25.38,25.38,721.0,14.99,23.99
File Folders SKU 21,5/15/22,18.99,5,95,22,33,14,1,25,25.38,,,,,25.38,25.38,719.0,14.99,23.99
File Folders SKU 21,5/16/22,18.99,3,57,13,20,9,4,11,25.99,,,,,25.99,25.99,738.0,14.99,23.99
File Folders SKU 21,5/17/22,18.99,12,228,53,79,34,3,59,25.99,,,,,25.99,25.99,737.0,14.99,23.99
File Folders SKU 21,5/18/22,18.89,3,57,13,20,9,8,7,25.99,,,,,25.99,25.99,733.0,14.99,23.99
File Folders SKU 21,5/19/22,18.89,6,113,27,40,17,6,23,25.99,,,,,25.99,25.99,724.0,14.99,23.99
File Folders SKU 21,5/20/22,18.89,7,132,31,46,20,3,32,25.99,,,,,25.99,25.99,720.0,14.99,23.99
File Folders SKU 21,5/21/22,0.0,0,0,0,0,0,3,-3,25.99,,,,,25.99,25.99,713.0,14.99,23.99
File Folders SKU 21,5/22/22,18.99,1,19,4,7,3,1,4,25.99,,,,,25.99,25.99,706.0,14.99,23.99
File Folders SKU 21,5/23/22,18.99,4,76,18,26,11,8,13,25.99,,,,,25.99,25.99,701.0,14.99,23.99
File Folders SKU 21,5/24/22,18.49,10,185,44,66,28,8,39,25.99,,,,,25.99,25.99,699.0,14.99,23.99
File Folders SKU 21,5/25/22,18.69,6,112,27,40,17,5,23,25.99,,,,,25.99,25.99,697.0,14.99,23.99
File Folders SKU 21,5/26/22,18.89,12,227,53,79,34,5,56,25.99,,,,,25.99,25.99,692.0,14.99,23.99
File Folders SKU 21,5/27/22,18.99,10,190,44,66,28,5,47,25.99,,,,,25.99,25.99,687.0,14.99,23.99
File Folders SKU 21,5/28/22,18.99,4,76,18,26,11,2,19,25.99,,,,,25.99,25.99,671.0,14.99,23.99
File Folders SKU 21,5/29/22,18.99,3,57,13,20,9,3,12,25.99,,,,,25.99,25.99,664.0,14.99,23.99
File Folders SKU 21,5/30/22,18.99,2,38,9,13,6,0,10,25.99,,,,,25.99,25.99,646.0,14.99,23.99
File Folders SKU 21,5/31/22,18.89,4,76,18,26,11,6,15,25.99,,,,,25.99,25.99,641.0,14.99,23.99
File Folders SKU 21,6/1/22,18.59,20,372,89,132,56,6,89,25.99,,,,,25.99,25.99,639.0,14.99,23.99
File Folders SKU 21,6/2/22,18.69,7,131,31,46,20,4,30,25.99,,,,,25.99,25.99,634.0,14.99,23.99
File Folders SKU 21,6/3/22,18.99,6,114,27,40,17,2,28,25.99,,,,,25.99,25.99,619.0,14.99,23.99
File Folders SKU 21,6/4/22,18.89,3,57,13,20,9,1,14,25.99,,,,,25.99,25.99,611.0,14.99,23.99
File Folders SKU 21,6/5/22,18.99,5,95,22,33,14,2,24,25.99,,,,,25.99,25.99,605.0,14.99,23.99
File Folders SKU 21,6/6/22,18.79,12,225,53,79,34,9,50,25.99,,,,,25.99,25.99,605.0,14.99,23.99
File Folders SKU 21,6/7/22,18.79,8,150,36,53,22,7,32,25.99,,,,,25.99,25.99,584.0,14.99,23.99
File Folders SKU 21,6/8/22,18.89,5,94,22,33,14,4,21,25.99,,,,,25.99,25.99,576.0,14.99,23.99
File Folders SKU 21,6/9/22,18.79,9,169,40,59,25,7,38,25.99,,,,,25.99,25.99,568.0,14.99,23.99
File Folders SKU 21,6/10/22,18.99,9,171,40,59,26,11,35,25.99,,,,,25.99,25.99,570.0,14.99,23.99
File Folders SKU 21,6/11/22,18.99,2,38,9,13,6,2,8,25.99,,,,,25.99,25.99,565.0,14.99,23.99
File Folders SKU 21,6/12/22,18.99,2,38,9,13,6,3,7,25.99,,,,,25.99,25.99,563.0,14.99,23.99
File Folders SKU 21,6/13/22,18.79,19,357,84,125,54,7,87,25.99,,,,,25.99,25.99,559.0,14.99,23.99
File Folders SKU 21,6/14/22,18.89,8,151,36,53,23,2,37,25.99,,,,,25.99,25.99,547.0,14.99,23.99
File Folders SKU 21,6/15/22,18.79,4,75,18,26,11,7,13,25.99,,,,,25.99,25.99,533.0,14.99,23.99
File Folders SKU 21,6/16/22,18.89,17,321,75,112,48,9,77,25.99,,,,,25.99,25.99,526.0,14.99,23.99
File Folders SKU 21,6/17/22,18.99,3,57,13,20,9,2,13,25.99,,,,,25.99,25.99,522.0,14.99,23.99
File Folders SKU 21,6/18/22,18.99,8,152,36,53,23,4,36,25.99,,,,,25.99,25.99,717.0,14.99,23.99
File Folders SKU 21,6/19/22,18.99,4,76,18,26,11,4,17,25.99,,,,,25.99,25.99,736.0,14.99,23.99
File Folders SKU 21,6/20/22,18.89,6,113,27,40,17,6,23,26.58,,,,,26.58,26.58,959.0,14.99,23.99
File Folders SKU 21,6/21/22,18.89,14,264,62,92,40,3,67,26.58,,,,,26.58,26.58,955.0,14.99,23.99
File Folders SKU 21,6/22/22,18.99,5,95,22,33,14,3,23,26.58,,,,,26.58,26.58,952.0,14.99,23.99
File Folders SKU 21,6/23/22,18.99,4,76,18,26,11,3,18,26.58,,,,,26.58,26.58,1091.0,14.99,23.99
File Folders SKU 21,6/24/22,18.69,3,56,13,20,8,2,13,26.58,,,,,26.58,26.58,1151.0,14.99,23.99
File Folders SKU 21,6/25/22,18.99,2,38,9,13,6,2,8,26.58,,,,,26.58,26.58,1145.0,14.99,23.99
File Folders SKU 21,6/26/22,18.99,1,19,4,7,3,3,2,26.58,,,,,26.58,26.58,1139.0,14.99,23.99
File Folders SKU 21,6/27/22,18.99,4,76,18,26,11,6,15,26.58,,,,,26.58,26.58,1134.0,14.99,23.99
File Folders SKU 21,6/28/22,18.89,12,227,53,79,34,9,52,26.58,,,,,26.58,26.58,1133.0,14.99,23.99
File Folders SKU 21,6/29/22,18.89,11,208,49,73,31,3,52,26.58,,,,,26.58,26.58,1132.0,14.99,23.99
File Folders SKU 21,6/30/22,18.89,8,151,36,53,23,2,37,26.58,,,,,26.58,26.58,1127.0,14.99,23.99
File Folders SKU 21,7/1/22,18.89,9,170,40,59,26,3,42,26.58,,,,,26.58,26.58,1115.0,14.99,23.99
File Folders SKU 21,7/2/22,18.99,2,38,9,13,6,2,8,26.58,,,,,26.58,26.58,1104.0,14.99,23.99
File Folders SKU 21,7/3/22,18.99,3,57,13,20,9,1,14,26.58,,,,,26.58,26.58,1098.0,14.99,23.99
File Folders SKU 21,7/4/22,18.99,7,133,31,46,20,2,34,26.58,,,,,26.58,26.58,1094.0,14.99,23.99
File Folders SKU 21,7/5/22,18.99,14,266,62,92,40,9,63,26.58,,,,,26.58,26.58,1084.0,14.99,23.99
File Folders SKU 21,7/6/22,18.99,10,190,44,66,28,6,46,26.58,,,,,26.58,26.58,,14.99,23.99
File Folders SKU 21,7/7/22,18.99,11,209,49,73,31,9,47,26.58,,,,,26.58,26.58,1076.0,14.99,23.99
File Folders SKU 21,7/8/22,18.99,7,133,31,46,20,5,31,26.58,,,,,26.58,26.58,1058.0,14.99,23.99
File Folders SKU 21,7/9/22,18.99,5,95,22,33,14,3,23,26.58,,,,,26.58,26.58,1047.0,14.99,23.99
File Folders SKU 21,7/10/22,17.89,18,322,80,119,48,7,68,26.58,,,,,26.58,26.58,1030.0,14.99,23.99
File Folders SKU 21,7/11/22,18.99,12,228,53,79,34,7,55,28.15,,,,,28.15,28.15,1012.0,14.99,23.99
File Folders SKU 21,7/12/22,18.99,16,304,71,106,46,16,65,28.15,,,,,28.15,28.15,1007.0,14.99,23.99
File Folders SKU 21,7/13/22,18.99,20,380,89,132,57,15,87,28.15,,,,,28.15,28.15,993.0,14.99,23.99
File Folders SKU 21,7/14/22,18.89,12,227,53,79,34,8,53,28.15,,,,,28.15,28.15,978.0,14.99,23.99
File Folders SKU 21,7/15/22,18.79,18,338,80,119,51,7,81,28.15,,,,,28.15,28.15,960.0,14.99,23.99
File Folders SKU 21,7/16/22,18.99,5,95,22,33,14,5,21,28.15,,,,,28.15,28.15,957.0,14.99,23.99
File Folders SKU 21,7/17/22,18.99,6,114,27,40,17,4,26,28.15,,,,,28.15,28.15,949.0,14.99,23.99
File Folders SKU 21,7/18/22,18.49,33,610,147,218,92,7,146,25.99,,,,,25.99,25.99,937.0,14.99,23.99
File Folders SKU 21,7/19/22,18.99,17,323,75,112,48,10,78,25.99,,,,,25.99,25.99,918.0,14.99,23.99
File Folders SKU 21,7/20/22,18.99,12,228,53,79,34,5,57,25.99,,,,,25.99,25.99,897.0,14.99,23.99
File Folders SKU 21,7/21/22,18.89,17,321,75,112,48,10,76,25.99,,,,,25.99,25.99,878.0,14.99,23.99
File Folders SKU 21,7/22/22,18.89,3,57,13,20,9,4,11,25.99,,,,,25.99,25.99,858.0,14.99,23.99
File Folders SKU 21,7/23/22,18.99,6,114,27,40,17,6,24,25.99,,,,,25.99,25.99,839.0,14.99,23.99
File Folders SKU 21,7/24/22,18.99,5,95,22,33,14,8,18,25.99,,,,,25.99,25.99,827.0,14.99,23.99
File Folders SKU 21,7/25/22,18.89,14,264,62,92,40,6,64,28.15,,,,,28.15,28.15,821.0,14.99,23.99
File Folders SKU 21,7/26/22,18.89,15,283,67,99,42,9,66,28.15,,,,,28.15,28.15,1032.0,14.99,23.99
File Folders SKU 21,7/27/22,18.59,36,669,160,238,100,7,164,28.15,,,,,28.15,28.15,1024.0,14.99,23.99
File Folders SKU 21,7/28/22,18.89,21,397,93,139,60,5,100,28.15,,,,,28.15,28.15,1016.0,14.99,23.99
File Folders SKU 21,7/29/22,18.79,19,357,84,125,54,5,89,28.15,,,,,28.15,28.15,991.0,14.99,23.99
File Folders SKU 21,7/30/22,18.99,19,361,84,125,54,7,91,28.15,,,,,28.15,28.15,966.0,14.99,23.99
File Folders SKU 21,7/31/22,18.99,6,114,27,40,17,5,25,28.15,,,,,28.15,28.15,951.0,14.99,23.99
File Folders SKU 21,8/1/22,18.59,23,428,102,152,64,7,103,28.15,,,,,28.15,28.15,948.0,14.99,23.99
File Folders SKU 21,8/2/22,18.99,25,475,111,165,71,9,119,28.15,,,,,28.15,28.15,926.0,14.99,23.99
File Folders SKU 21,8/3/22,18.99,19,361,84,125,54,14,84,28.15,,,,,28.15,28.15,918.0,14.99,23.99
File Folders SKU 21,8/4/22,18.99,40,760,178,264,114,9,195,28.15,,,,,28.15,28.15,902.0,14.99,23.99
File Folders SKU 21,8/5/22,18.89,19,359,84,125,54,8,88,28.15,,,,,28.15,28.15,876.0,14.99,23.99
File Folders SKU 21,8/6/22,18.99,10,190,44,66,28,4,48,28.15,,,,,28.15,28.15,840.0,14.99,23.99
File Folders SKU 21,8/7/22,18.99,8,152,36,53,23,2,38,28.15,,,,,28.15,28.15,812.0,14.99,23.99
File Folders SKU 21,8/8/22,18.89,28,529,124,185,79,12,129,28.14,,,,,28.14,28.14,796.0,14.99,23.99
File Folders SKU 21,8/9/22,18.79,29,545,129,191,82,9,134,28.14,,,,,28.14,28.14,785.0,14.99,23.99
File Folders SKU 21,8/10/22,18.79,29,545,129,191,82,13,130,28.14,,,,,28.14,28.14,768.0,14.99,23.99
File Folders SKU 21,8/11/22,18.99,29,551,129,191,83,8,140,28.14,,,,,28.14,28.14,736.0,14.99,23.99
File Folders SKU 21,8/12/22,18.99,12,228,53,79,34,9,53,28.14,,,,,28.14,28.14,717.0,14.99,23.99
File Folders SKU 21,8/13/22,18.99,10,190,44,66,28,2,50,28.14,,,,,28.14,28.14,692.0,14.99,23.99
File Folders SKU 21,8/14/22,18.99,10,190,44,66,28,5,47,28.14,,,,,28.14,28.14,667.0,14.99,23.99
File Folders SKU 21,8/15/22,18.89,22,416,98,145,62,11,100,28.14,,,,,28.14,28.14,653.0,14.99,23.99
File Folders SKU 21,8/16/22,18.99,25,475,111,165,71,10,118,28.14,,,,,28.14,28.14,640.0,14.99,23.99
File Folders SKU 21,8/17/22,18.89,11,208,49,73,31,6,49,28.14,,,,,28.14,28.14,620.0,14.99,23.99
File Folders SKU 21,8/18/22,18.89,11,208,49,73,31,9,46,28.14,,,,,28.14,28.14,592.0,14.99,23.99
File Folders SKU 21,8/19/22,18.79,20,376,89,132,56,10,89,28.14,,,,,28.14,28.14,574.0,14.99,23.99
File Folders SKU 21,8/20/22,18.99,5,95,22,33,14,2,24,28.14,,,,,28.14,28.14,558.0,14.99,23.99
File Folders SKU 21,8/21/22,18.99,15,285,67,99,43,9,67,28.14,,,,,28.14,28.14,550.0,14.99,23.99
File Folders SKU 21,8/22/22,18.89,28,529,124,185,79,12,129,28.14,,,,,28.14,28.14,543.0,14.99,23.99
File Folders SKU 21,8/23/22,18.79,21,395,93,139,59,8,96,28.14,,,,,28.14,28.14,525.0,14.99,23.99
File Folders SKU 21,8/24/22,18.89,16,302,71,106,45,12,68,28.14,,,,,28.14,28.14,512.0,14.99,23.99
File Folders SKU 21,8/25/22,18.69,24,449,107,158,67,6,111,28.14,,,,,28.14,28.14,476.0,14.99,23.99
File Folders SKU 21,8/26/22,18.89,13,246,58,86,37,10,55,28.14,,,,,28.14,28.14,459.0,14.99,23.99
File Folders SKU 21,8/27/22,18.99,7,133,31,46,20,7,29,28.14,,,,,28.14,28.14,434.0,14.99,23.99
File Folders SKU 21,8/28/22,18.99,4,76,18,26,11,1,20,28.14,,,,,28.14,28.14,423.0,14.99,23.99
File Folders SKU 21,8/29/22,18.89,15,283,67,99,42,3,72,28.14,,,,,28.14,28.14,412.0,14.99,23.99
File Folders SKU 21,8/30/22,18.89,10,189,44,66,28,8,43,28.14,,,,,28.14,28.14,392.0,14.99,23.99
File Folders SKU 21,8/31/22,18.99,21,399,93,139,60,11,96,28.14,,,,,28.14,28.14,391.0,14.99,23.99
File Folders SKU 21,9/1/22,18.89,16,302,71,106,45,9,71,28.14,,,,,28.14,28.14,381.0,14.99,23.99
File Folders SKU 21,9/2/22,18.69,31,579,138,205,87,9,140,28.14,,,,,28.14,28.14,368.0,14.99,23.99
File Folders SKU 21,9/3/22,18.99,10,190,44,66,28,2,50,28.14,,,,,28.14,28.14,353.0,14.99,23.99
File Folders SKU 21,9/4/22,18.99,4,76,18,26,11,2,19,28.14,,,,,28.14,28.14,580.0,14.99,23.99
File Folders SKU 21,9/5/22,18.99,10,190,44,66,28,5,47,28.14,,,,,28.14,28.14,566.0,14.99,23.99
File Folders SKU 21,9/6/22,18.99,23,437,102,152,66,5,112,28.14,,,,,28.14,28.14,556.0,14.99,23.99
File Folders SKU 21,9/7/22,18.99,36,684,160,238,103,6,177,28.14,,,,,28.14,28.14,537.0,14.99,23.99
File Folders SKU 21,9/8/22,18.89,12,227,53,79,34,7,54,28.14,,,,,28.14,28.14,532.0,14.99,23.99
File Folders SKU 21,9/9/22,18.79,17,319,75,112,48,7,77,28.14,,,,,28.14,28.14,753.0,14.99,23.99
File Folders SKU 21,9/10/22,18.99,11,209,49,73,31,5,51,28.14,,,,,28.14,28.14,,14.99,23.99
File Folders SKU 21,9/11/22,18.99,13,247,58,86,37,6,60,28.14,,,,,28.14,28.14,,14.99,23.99
File Folders SKU 21,9/12/22,18.89,28,529,124,185,79,12,129,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/13/22,18.89,16,302,71,106,45,8,72,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/14/22,18.89,28,529,124,185,79,8,133,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/15/22,18.99,12,228,53,79,34,4,58,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/16/22,18.99,17,323,75,112,48,7,81,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/17/22,18.89,4,76,18,26,11,3,18,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/18/22,18.99,8,152,36,53,23,4,36,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/19/22,18.89,11,208,49,73,31,7,48,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/20/22,18.59,21,390,93,139,58,6,94,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/21/22,18.89,28,529,124,185,79,7,134,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/22/22,18.89,17,321,75,112,48,4,82,27.75,,,,,27.75,27.75,,14.99,23.99
File Folders SKU 21,9/23/22,18.79,19,357,84,125,54,10,84,27.75,,,,,27.75,27.75,650.0,14.99,23.99
File Folders SKU 21,9/24/22,18.99,8,152,36,53,23,2,38,27.75,,,,,27.75,27.75,494.0,14.99,23.99
File Folders SKU 21,9/25/22,18.99,4,76,18,26,11,4,17,27.75,,,,,27.75,27.75,459.0,14.99,23.99
File Folders SKU 21,9/26/22,18.69,27,505,120,178,76,6,125,26.38,,,,,26.38,26.38,452.0,14.99,23.99
File Folders SKU 21,9/27/22,0.0,0,0,0,0,0,1,-1,26.38,,,,,26.38,26.38,431.0,14.99,23.99
File Folders SKU 21,9/28/22,17.99,22,396,98,145,59,5,89,26.38,,,,,26.38,26.38,429.0,14.99,23.99
File Folders SKU 21,9/29/22,12.49,12,150,53,79,22,3,-7,26.38,,,,,26.38,26.38,409.0,14.99,23.99
File Folders SKU 21,9/30/22,18.99,13,247,58,86,37,3,63,26.38,,,,,26.38,26.38,522.0,14.99,23.99
