Price,Robust,Optimistic
1.748999999999996646e+01,4.836372454694352996e+01,8.617426501953870854e+01
1.754999999999996518e+01,4.969458624232725441e+01,8.800767979385582862e+01
1.758999999999996433e+01,5.055006031966446045e+01,8.919895119274180217e+01
1.764999999999996305e+01,5.178030357583143228e+01,9.093412324189981177e+01
1.768999999999996220e+01,5.256237036488104764e+01,9.205367390826094720e+01
1.774999999999996092e+01,5.367423194923147634e+01,9.367311260460445510e+01
1.778999999999996007e+01,5.437271073020409773e+01,9.471089659739065780e+01
1.784999999999995879e+01,5.535382118176992350e+01,9.620235742264644330e+01
1.788999999999995794e+01,5.596257701674466034e+01,9.715226916828373760e+01
1.794999999999995666e+01,5.680708274524241830e+01,9.850986133512378728e+01
1.798999999999995580e+01,5.732447737326948811e+01,9.937018502902181183e+01
1.804999999999995453e+01,5.803324558444263914e+01,1.005945845239679244e+02
1.808999999999995367e+01,5.846196280557865066e+01,1.013678313934662469e+02
1.814999999999995239e+01,5.904188703598659771e+01,1.024656153756756680e+02
1.818999999999995154e+01,5.938821810138833257e+01,1.031578337037367419e+02
1.824999999999995026e+01,5.985085178671418760e+01,1.041401551816671827e+02
1.828999999999994941e+01,6.012364243814275255e+01,1.047599068004345213e+02
1.834999999999994813e+01,6.048350321059990620e+01,1.056408438280829927e+02
1.838999999999994728e+01,6.069299998263237228e+01,1.061980795076423334e+02
1.844999999999994600e+01,6.096588669435590901e+01,1.069929929699333542e+02
1.848999999999994515e+01,6.112268627456457182e+01,1.074980261093135283e+02
1.854999999999994387e+01,6.132426112068199586e+01,1.082221730391241152e+02
1.858999999999994301e+01,6.143849021678512656e+01,1.086848765269248531e+02
1.864999999999994174e+01,6.158325390196312554e+01,1.093524054022555561e+02
1.868999999999994088e+01,6.166402499307288565e+01,1.097816772469415696e+02
1.874999999999993960e+01,6.176470109219184934e+01,1.104050216939555327e+02
1.878999999999993875e+01,6.181982638128852159e+01,1.108085022044323864e+02
1.884999999999993747e+01,6.188709707034903573e+01,1.113981180978389887e+02
1.888999999999993662e+01,6.192300766918202015e+01,1.117821078465262303e+02
1.894999999999993534e+01,6.196550973885027247e+01,1.123464649761355645e+02
1.898999999999993449e+01,6.198731642062724490e+01,1.127159814095276573e+02
1.904999999999993321e+01,6.201180398601567845e+01,1.132617186901054538e+02
1.908999999999993236e+01,6.202344109234965686e+01,1.136206345398818200e+02
1.914999999999993108e+01,6.203503637320574882e+01,1.141528021049471704e+02
1.918999999999993022e+01,6.203944333039284231e+01,1.145040209486641203e+02
1.924999999999992895e+01,6.204197041199860507e+01,1.150263527323047299e+02
1.928999999999992809e+01,6.204169822755721242e+01,1.153719912324386314e+02
1.934999999999992681e+01,6.203867083949411665e+01,1.158871493837235533e+02
1.938999999999992596e+01,6.203519303087934134e+01,1.162279391821157901e+02
1.944999999999992468e+01,6.202782209533664570e+01,1.167367905588620118e+02
1.948999999999992383e+01,6.202166676965835990e+01,1.170746620277829777e+02
1.954999999999992255e+01,6.201084125823846449e+01,1.175796929261375112e+02
1.958999999999992170e+01,6.200268794475783096e+01,1.179153210923277015e+02
1.964999999999992042e+01,6.198922323485112429e+01,1.184173452759445979e+02
1.968999999999991957e+01,6.197950066600328256e+01,1.187511608314748628e+02
1.974999999999991829e+01,6.196389937685427896e+01,1.192506877425447414e+02
1.978999999999991743e+01,6.195286517978755114e+01,1.195829550080910764e+02
1.984999999999991616e+01,6.193542168229402733e+01,1.200802916901941444e+02
1.988999999999991530e+01,6.192322283764072921e+01,1.204111675646949777e+02
1.994999999999991402e+01,6.190410150842418346e+01,1.209064950210357807e+02
1.998999999999991317e+01,6.189081903962606646e+01,1.212360725187915875e+02
2.004999999999991189e+01,6.187011128851455766e+01,1.217295012313756501e+02
2.008999999999991104e+01,6.185579230454189315e+01,1.220578407232925997e+02
2.014999999999990976e+01,6.183355702232381645e+01,1.225494498870313862e+02
2.018999999999990891e+01,6.181823721328916577e+01,1.228766006694716566e+02
2.024999999999990763e+01,6.179452801074968704e+01,1.233664651044812786e+02
2.028999999999990678e+01,6.177824601132559934e+01,1.236924802503737908e+02
2.034999999999990550e+01,6.175312973481499768e+01,1.241806871090451665e+02
2.038999999999990465e+01,6.173593756630868512e+01,1.245056313286634406e+02
2.044999999999990337e+01,6.170950420553578653e+01,1.249922910014941522e+02
2.048999999999990251e+01,6.169147072904471685e+01,1.253162475466888992e+02
2.054999999999990123e+01,6.166383953644358940e+01,1.258014984397136118e+02
2.058999999999990038e+01,6.164505478356485924e+01,1.261245692570717551e+02
2.064999999999989910e+01,6.161637654971452349e+01,1.266085789368487440e+02
2.068999999999989825e+01,6.159695071944573641e+01,1.269308861324455648e+02
2.074999999999989697e+01,6.156740429944867543e+01,1.274138536056209716e+02
2.078999999999989612e+01,6.154746735195371343e+01,1.277355379248402727e+02
2.084999999999989484e+01,6.151726204027335854e+01,1.282176865203146576e+02
2.088999999999989399e+01,6.149696135564871469e+01,1.285389056109855801e+02
2.094999999999989271e+01,6.146633014807928674e+01,1.290204827249071400e+02
2.098999999999989186e+01,6.144582851728753781e+01,1.293414084398634145e+02
2.104999999999989058e+01,6.141502509686468869e+01,1.298226817408187230e+02
2.108999999999988972e+01,6.139449762462992055e+01,1.301434978437297900e+02
2.114999999999988844e+01,6.136379268176103352e+01,1.306247499104827625e+02
2.118999999999988759e+01,6.134342431815490215e+01,1.309456490389378587e+02
2.124999999999988631e+01,6.131310100614163616e+01,1.314271740338814425e+02
2.128999999999988546e+01,6.129308367751903575e+01,1.317483551490144009e+02
2.134999999999988418e+01,6.126343375588680829e+01,1.322304548635905803e+02
2.138999999999988333e+01,6.124396394833996027e+01,1.325521208166003362e+02
2.144999999999988205e+01,6.121528389957848049e+01,1.330351007194806527e+02
2.148999999999988120e+01,6.119656000839344756e+01,1.333574555958359724e+02
2.154999999999987992e+01,6.116914770777174937e+01,1.338416217010306184e+02
2.158999999999987907e+01,6.115136805750073989e+01,1.341648687106759610e+02
2.164999999999987779e+01,6.112551945136267051e+01,1.346505242299644749e+02
2.168999999999987693e+01,6.110887975474125966e+01,1.349748641625054120e+02
2.174999999999987566e+01,6.108488599966469224e+01,1.354623068287934302e+02
2.178999999999987480e+01,6.106957821330846059e+01,1.357879355401608450e+02
2.184999999999987352e+01,6.104772311533130136e+01,1.362774549652987730e+02
2.188999999999987267e+01,6.103393345348109023e+01,1.366045623407786991e+02
2.194999999999987139e+01,6.101449132533967656e+01,1.370964380665487852e+02
2.198999999999987054e+01,6.100239904526118551e+01,1.374252067333555090e+02
2.204999999999986926e+01,6.098563311342135762e+01,1.379197066872478388e+02
2.208999999999986841e+01,6.097540974538316760e+01,1.382503112464516732e+02
2.214999999999986713e+01,6.096157121574567128e+01,1.387476915059140481e+02
2.218999999999986628e+01,6.095338061635968074e+01,1.390802986807447041e+02
2.224999999999986500e+01,6.094271036714354040e+01,1.395808040495499824e+02
2.228999999999986414e+01,6.093671026963014015e+01,1.399155743529129268e+02
2.234999999999986287e+01,6.092944251001365075e+01,1.404194432469201104e+02
2.238999999999986201e+01,6.092578903316364602e+01,1.407565356241103132e+02
2.244999999999986073e+01,6.092216164275539114e+01,1.412640061218421295e+02
2.248999999999985988e+01,6.092101902374518829e+01,1.416034698783152237e+02
2.254999999999985860e+01,6.092129459836288419e+01,1.421146447902534078e+02
2.258999999999985775e+01,6.092285495218311553e+01,1.424568004631842371e+02
2.264999999999985647e+01,6.092736197912037710e+01,1.429721956976222828e+02
2.268999999999985562e+01,6.093188297904082873e+01,1.433173058274844891e+02
2.274999999999985434e+01,6.094109329893756666e+01,1.438374000440372527e+02
2.278999999999985349e+01,6.094896774168771003e+01,1.441858650668152677e+02
2.284999999999985221e+01,6.096363757442824749e+01,1.447114268282525416e+02
2.288999999999985135e+01,6.097551936607564471e+01,1.450639099789922568e+02
2.294999999999985008e+01,6.099694109948157461e+01,1.455962494941160230e+02
2.298999999999984922e+01,6.101396627464086464e+01,1.459539011890133509e+02
2.304999999999984794e+01,6.104440489008963056e+01,1.464953103087196666e+02
2.308999999999984709e+01,6.106856955545793397e+01,1.468601487310702964e+02
2.314999999999984581e+01,6.111199412925322605e+01,1.474146371202440662e+02
2.318999999999984496e+01,6.114677412556105196e+01,1.477901711418816149e+02
2.324999999999984368e+01,6.121002276469279479e+01,1.483646374830909735e+02
2.328999999999984283e+01,6.126132539073221750e+01,1.487568233053323183e+02
2.334999999999984155e+01,6.135580816752498379e+01,1.493627646894174461e+02
2.338999999999984070e+01,6.143327511722318945e+01,1.497813123475270345e+02
2.344999999999983942e+01,6.157708092712084635e+01,1.504369370400418688e+02
2.348999999999983856e+01,6.169547389100010548e+01,1.508966970010750117e+02
2.354999999999983729e+01,6.191504882414585609e+01,1.516285939393591207e+02
2.358999999999983643e+01,6.209475795102428464e+01,1.521500540072803460e+02
2.364999999999983515e+01,6.242392747603354053e+01,1.529921854285810525e+02
2.368999999999983430e+01,6.268856515464244694e+01,1.535990331326468379e+02
2.374999999999983302e+01,6.316125682104188854e+01,1.545853917422015229e+02
2.378999999999983217e+01,6.352994324469172227e+01,1.552967421887457249e+02
2.384999999999983089e+01,6.416445741944433223e+01,1.564455251615224824e+02
2.388999999999983004e+01,6.463945092226379074e+01,1.572634957954549293e+02
2.394999999999982876e+01,6.542030820607628527e+01,1.585589013087710839e+02
2.398999999999982791e+01,6.597785951656389614e+01,1.594594684570986374e+02
